"b_b_Intercept","b_trL_Intercept","b_trL_anom","r_year__b[2021,Intercept]","r_year__b[2022,Intercept]","r_year__b[2023,Intercept]"
0.788206850598235,0.20873751057523,0.407583126865186,-0.0109195524742806,0.00418353936059423,-0.0147043128609006
0.849134588684635,0.210191422738668,0.720699103895191,-0.0122936893307779,0.0778131738647497,-0.013210274984186
0.905652101992658,0.182831656983971,0.266248153277128,0.150083874266388,-0.1437433237434,-0.0659763048474321
0.969675581525082,0.160107694105146,0.414091376552762,-0.0134931963412317,-0.0649985438680305,-0.00953549619918338
0.601052209690328,0.262536057523497,0.682951758971802,0.008113612343637,0.0331307283128304,-0.00576804468232513
0.816836697959869,0.20722800186697,0.410849334317981,0.0656839483682846,-0.036798312982328,-0.0700850089761471
1.07428297263971,0.17388413028091,0.460258547699322,-0.024204918385179,0.00382406218257331,-0.135290414658381
0.730531403946302,0.238984937849538,0.507906398943106,-0.0357292725524368,0.0160628165095338,-0.106719207748573
0.685282709052613,0.226336046386374,0.473188070128841,0.171818861620002,-0.0232469998578111,-0.0253781230974825
0.977267904960772,0.181838241193316,0.558183172516959,0.00726922088593054,-0.00772669408242672,-0.00393755159196639
0.742976079212069,0.223715011877335,0.15798337058224,0.119437700410633,-0.142861324717705,0.0218182483330992
0.871330226050933,0.198940062981375,0.483468347219386,0.0489367214964033,-0.0284019409203122,0.0234861486704533
0.811132873944819,0.218021637133793,0.763203405004766,-0.00171348876496914,-0.00851886985979385,-0.00259634002433494
0.843088899891426,0.192075634478586,0.540585754249704,-0.0737560255583387,0.00271287554577627,0.0546390994841761
0.736294580958974,0.23013053673836,0.802273900250086,0.0236390913556697,0.0242127943821545,0.025098358624302
1.02603973099694,0.158581581318588,0.639546654065252,0.00317616876746188,-0.0131401457329737,0.0382938052027042
0.753957889316802,0.230512034513809,0.65093445357535,0.0105523537622817,0.0211092923428004,-0.0180038986969148
0.661741325889698,0.249357904407221,0.242591144876114,0.0835566935880777,-0.0101058623975937,-0.0932429167523984
0.673238797092361,0.264071996199174,0.554631070213803,0.0413395535012076,0.0388342113634867,-0.0167669068011761
0.704578414792206,0.226704296155815,0.718237249983859,-0.0645550924927849,-0.0450773247043058,0.0629534639511455
0.969913132059282,0.177035278835616,0.675016698377009,-0.0690146542334829,-0.0573395721380276,0.0609990324259757
0.923936031061785,0.173258306190574,0.591726852691539,-0.024858942306387,0.066902966545596,-0.0263341383789493
0.735509207910153,0.208330887278902,0.603521132836267,0.0454930456875291,-0.0277258945359172,0.0217638179391163
0.79544961759497,0.226199989530916,0.43284912644629,0.0412889979628449,-0.0440237668271972,0.0143365450648779
0.726327427475976,0.234944395480993,0.469207228696352,-0.0263365096440155,-0.0592366467102976,-0.0170540280316076
0.968805985984841,0.174056606833522,0.417810929491017,-0.00152320184340335,-0.000191684408319456,-0.0131111088200384
0.946424246101671,0.172919753729227,0.407298770195879,0.00271418518045452,0.0417752815213576,-0.0104947036904616
0.886208334500723,0.177034697239439,0.532704092630861,0.0355563318626539,-0.0160544449989694,0.0137260303881877
0.934835186427116,0.1775951965531,0.440938024538222,0.0268905961288554,-0.00633176903866593,-0.00948506392343552
0.900938640466603,0.168147052676111,0.330247089027776,0.055647959451251,-0.0596320611275328,0.0355125545404323
0.935221139309694,0.168404585927447,0.405860976586692,0.182520041834935,-0.00354378296600989,0.0111971477349048
0.7931778961258,0.221094278600755,0.407640594697748,-0.00157031821146476,-0.00521223579465341,0.0131058578210141
0.99598343084708,0.166669320875822,0.501918454071488,-0.0215089390152967,-0.039049467272413,0.00113974528420894
0.852168363352739,0.195182231080799,0.113751419575543,-0.00657588187407783,-0.0425013487007064,-0.0265861879296484
0.758472441493495,0.218146283713203,0.746249523364096,-0.116718875969249,0.00696144557514282,0.00895160523445808
0.776257260241243,0.239274529410422,0.424755993546635,-0.0586328989665417,-0.113196505474014,-0.0935370288190915
0.940915114454672,0.182299200385691,0.264091887349197,0.0818925151860156,-0.112290079318197,-0.140791041562501
0.816476875249388,0.199998073381704,0.593564801203811,-0.0316925839532662,0.0892197636718321,-0.0447001086189174
0.917039483186788,0.180311624028351,0.591735518828653,0.0146772033219984,-0.00799389570196703,0.0016303434428887
0.690136329464313,0.240204368313688,0.543883934981695,0.0329563287393792,-0.0132953675588711,0.0132925829131371
0.890818292901683,0.18323974302844,0.444818312266774,-0.00506080400086004,0.00671355507094256,0.00644139047626835
0.716021639817793,0.214490665656658,0.627207364015361,0.0313865945453925,0.0126603591618543,-0.00914903185378427
0.772804762076072,0.194173370516758,0.432720681591857,0.116229992518426,0.0505663276683998,-0.0221050094410768
0.809622515941288,0.198768373634737,0.355908595684067,0.00699438466781296,0.0355273636073387,0.0114627481982522
0.902293426343579,0.184937095936434,0.506629875584588,0.00231086886336713,-0.00245500248425857,0.00213279750112742
0.758199277489816,0.213152535050954,0.593896984417896,0.00414397794921236,-0.00491316587875636,0.00480403134018846
0.839475739606345,0.216548142018118,0.453812204728086,0.131271780566213,-0.0375750865232081,-0.05393473510193
0.800884152053687,0.210729113158235,0.433236079411322,0.00137379869504852,0.00601824078921427,-0.0017758323855145
0.751423933060656,0.2071877341665,0.283986970415502,0.128581228562666,-0.0744582652258776,-0.00152426365191146
0.841843816147177,0.20460051029378,0.491380158845087,-0.0146362256915623,-0.0155125373611942,-0.0193341353298742
1.02589686742008,0.194827815380248,0.336964387691733,-0.0406882967994004,-0.254124527115478,-0.119906094647009
0.92110029226979,0.240149627222398,0.135672912273878,-0.0701841504448925,-0.352237618814927,-0.250541702192167
0.993456626658793,0.156776787621614,0.551792619428793,-0.0158516722493553,0.0500375232875443,-0.013877336330289
0.867603102018217,0.206442413286251,0.271574001014217,0.169563574719467,-0.0971256327578529,0.0314260566662276
0.967673559739445,0.184987994250814,0.721670364332132,0.00309004315296536,-0.00624912948552872,-0.0139985511665936
0.66107661074818,0.233776170899048,0.721707817135939,0.0644849152044071,0.0848568258592923,0.0297557722682747
0.923185623715934,0.198910370983966,0.330195836256302,0.0763338694767856,-0.128920226176526,-0.0314948346100097
0.729227205631931,0.250991903274911,0.623275281463964,-0.00230057243700437,-0.0204397918694611,0.0128984492947408
0.787197891705138,0.213617593022694,0.232812142578302,0.00852722744769228,0.0223807452737528,-0.0067895081608222
0.936720349378627,0.201860937305502,0.432664527970826,-0.0122789536287058,-0.0163304946791517,-0.0322770127679854
0.908418123524611,0.182258307622945,0.457261672441506,-0.00228915348623223,0.00288464543991309,-0.01627320359037
0.94730914792887,0.179081312676594,0.46955672344927,-0.00102996103972121,0.000675098860872602,-0.00101477337172358
0.782139519225725,0.205603064070151,0.682856605321118,0.0119022182834948,-0.00419379599220931,0.00554615914089622
0.909387080878025,0.181473341012522,0.597766251701126,-0.015194465427067,-0.00603975780946405,0.0114367289443942
0.571623832823991,0.250520738386381,0.299419212777484,0.12917649737034,0.042923192365464,0.0806959628132765
0.818513693701954,0.218123151486115,0.421463469059945,-0.00718688067372497,-0.0107501832856109,0.00626391116911669
0.97829912808688,0.194437437219278,0.643354646746786,-0.115580422102329,-0.187118728830371,0.00204510441754458
0.803024013673259,0.184441820719683,0.0977859299644275,0.214691865584249,-0.0204597072152916,-0.0101772375366141
0.851487498834117,0.210142228932488,0.399385914133362,0.0409400195860047,-0.050771654330403,0.0114115455880834
0.991136192991047,0.191868872510505,0.282259421463032,-0.0353837750706841,-0.154945020412276,-0.1642095665327
0.648537089488584,0.215616466243689,0.543876586778223,0.15759439827829,0.0275049295379898,-0.0111664655224509
0.869196606780529,0.187232702349144,0.392753279091293,0.0556307274661447,-0.0488301216931374,0.00240462693519431
0.810028321639108,0.211109250148774,0.568011667956728,-0.00953124747820438,0.0268005104888617,0.00334130708663349
